Make,Car_Name,CC_Capacity,Horsepower,Top_Speed_kmh,Acceleration_0_100_sec,Price_USD,Seats,Torque_Nm,Engine_Layout,Fuel_Type_Cleaned
VOLKSWAGEN,Jetta,1498.0,189.0,210.0,7.7,21995.0,5,250.0,Inline,Petrol
VOLKSWAGEN,Polo,999.0,140.0,190.0,9.5,18000.0,5,175.0,Inline,Petrol
VOLKSWAGEN,Arteon,1984.0,215.0,250.0,5.6,46000.0,5,350.0,Inline,Petrol
VOLKSWAGEN,Id.4,,251.5,160.0,7.8,39735.0,5,310.0,Electric Motor,Electric
VOLKSWAGEN,Up!,,82.0,160.0,13.0,15000.0,4,95.0,Electric Motor,Petrol
VOLKSWAGEN,Touareg,2967.0,365.5,235.0,5.9,55000.0,5,600.0,V-type,Mixed Fuel
VOLKSWAGEN,Scirocco,1984.0,202.5,233.0,6.0,35000.0,4,350.0,Inline,Petrol
VOLKSWAGEN,Beetle,1984.0,157.5,205.0,7.0,20000.0,4,240.0,Inline,Petrol
VOLKSWAGEN,Amarok,2967.0,210.5,180.0,7.9,40000.0,5,550.0,V-type,Diesel
VOLKSWAGEN,T-Roc,1984.0,207.5,205.0,7.2,30000.0,5,320.0,Inline,Petrol
